intent,actions,text-embedding-ada-002_actions,text-embedding-ada-002_precision,text-embedding-ada-002_recall,text-embedding-ada-002_f1,text2vec-base-chinese_actions,text2vec-base-chinese_precision,text2vec-base-chinese_recall,text2vec-base-chinese_f1,siamese-bert_actions,siamese_precision,siamese_recall,siamese_f1,cross_actions,cross_precision,cross_recall,cross_f1,text-similarity-davinci-001_actions,text-similarity-davinci-001_precision,text-similarity-davinci-001_recall,text-similarity-davinci-001_f1,text-similarity-ada-001_actions,text-similarity-ada-001_precision,text-similarity-ada-001_recall,text-similarity-ada-001_f1,text-similarity-curie-001_actions,text-similarity-curie-001_precision,text-similarity-curie-001_recall,text-similarity-curie-001_f1,text-similarity-babbage-001_actions,text-similarity-babbage-001_precision,text-similarity-babbage-001_recall,text-similarity-babbage-001_f1
把现在播放的这首歌添加到备忘录,"['phone.actions.GetCurrentSong', 'phone.actions.AddToMemorandum']","['phone.actions.AddToPlaylist', 'phone.actions.AddToMemorandum', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.AddToMemorandum', 'phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToMemorandum', 'phone.actions.FilterMusic', 'phone.actions.GetCurrentSong']",0.666666667,1,0.8,"['phone.actions.AddToMemorandum', 'phone.actions.GetCurrentSong']",1,1,1,"['phone.actions.AddToPlaylist', 'phone.actions.AddToMemorandum', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToMemorandum', 'phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.AddToMemorandum']",0.333333333,0.5,0.4
给A连续发10份欢迎邮件,"['phone.actions.RepeatCount', 'phone.actions.SendEmail']","['phone.scenes.Email', 'phone.actions.AirDropDocument', 'phone.actions.SendEmail']",0.333333333,0.5,0.4,"['phone.scenes.Email', 'phone.scenes.Message', 'phone.actions.Contacts']",0,0,0,"['phone.actions.RepeatCount', 'phone.actions.GetCurrentLocation', 'phone.scenes.Message']",0.333333333,0.5,0.4,"['phone.scenes.Email', 'phone.actions.GetCurrentLocation', 'phone.actions.RepeatCount']",0.333333333,0.5,0.4,"['phone.scenes.Email', 'phone.actions.AddToMemorandum', 'phone.actions.OverlayImages']",0,0,0,"['phone.scenes.Email', 'phone.actions.AirDropDocument', 'phone.actions.Contacts']",0,0,0,"['phone.scenes.Email', 'phone.scenes.IsApplication', 'phone.actions.AddToMemorandum']",0,0,0,"['phone.scenes.Email', 'phone.actions.AirDropDocument', 'phone.scenes.Message']",0,0,0
求从昆明到苏州和昆明到深圳的距离,"['phone.actions.GetDistance', 'phone.actions.GetDistance']","['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.SearchLocalFacilities']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.GetDirections']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.scenes.IsAirplaneModeState', 'phone.actions.SearchWeb']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.actions.WeatherCurrentConditions', 'phone.actions.SearchLocalFacilities']",0,0,0,"['phone.actions.GetDistance', 'phone.actions.GetCurrentLocation', 'phone.actions.SetAirplaneMode']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.GetDirections']",0.333333333,1,0.5
如果明天早上下雨的话帮我给A发邮件请假,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherForecast', 'phone.actions.SendEmail']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions', 'phone.scenes.IsWeatherCondition']",0.333333333,0.333333333,0.333333333,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.Contacts']",0.333333333,0.333333333,0.333333333,"['phone.scenes.IsWeatherCondition', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,0.666666667,0.666666667,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherConditions']",0.666666667,0.666666667,0.666666667,"['phone.scenes.Email', 'phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition']",0.666666667,0.666666667,0.666666667,"['phone.actions.WeatherForecast', 'phone.scenes.Email', 'phone.actions.CreateAlarm']",0.333333333,0.333333333,0.333333333,"['phone.scenes.Email', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherCurrentConditions']",0.333333333,0.333333333,0.333333333,"['phone.scenes.Email', 'phone.scenes.Message', 'phone.actions.WeatherConditions']",0,0,0
导航去苏州，查询当地的天气，并循环播放音乐A,"['phone.actions.GetDirections', 'phone.actions.WeatherForecast', 'phone.actions.PlayMusic']","['phone.actions.WeatherCurrentConditions', 'phone.actions.PlayMusic', 'phone.actions.WeatherConditions']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetCurrentSong', 'phone.actions.WeatherConditions', 'phone.actions.PlayMusic']",0.333333333,0.333333333,0.333333333,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,0.333333333,0.333333333,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.actions.GetDirections']",0.666666667,0.666666667,0.666666667,"['phone.actions.PlayMusic', 'phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetPlaylist', 'phone.actions.PlayMusic', 'phone.actions.GetCurrentSong']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.FilterMusic']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.FilterMusic', 'phone.actions.GetCurrentSong']",0,0,0
循环播放《星晴》10次,"['phone.actions.RepeatCount', 'phone.actions.PlayMusic']","['phone.actions.RepeatCount', 'phone.actions.PlayMusic', 'phone.actions.GetPlaylist']",0.666666667,1,0.8,"['phone.actions.Delay', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherForecast']",0,0,0,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.scenes.IsBlueTooth']",0.333333333,0.5,0.4,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.scenes.IsBlueTooth']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.SearchWeb']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.scenes.IsApplication', 'phone.actions.GetCurrentSong']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.GetLastVideo', 'phone.actions.RepeatCount']",0.333333333,0.5,0.4
从呈贡区打车到西山区，6个人需要一辆高级车,['phone.actions.RequestRide'],"['phone.actions.RequestRide', 'phone.scenes.CarPlay', 'phone.actions.GetDirections']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.scenes.Arrive', 'phone.actions.GetDirections']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.actions.GetDistance', 'phone.actions.SendMessage']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.actions.Conditional', 'phone.actions.SendMessage']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.scenes.CarPlay', 'phone.actions.GetDirections']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.actions.Contacts', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.scenes.CarPlay', 'phone.scenes.IsApplication']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.actions.FilterPhotos', 'phone.actions.AirDropDocument']",0.333333333,1,0.5
获取苏州每小时到天气预报,['phone.actions.WeatherForecast'],"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.SearchWeb']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5
获取昆明呈贡区每日天气预报,['phone.actions.WeatherForecast'],"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetPinboard']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,1,0.5,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5
获取昆明呈贡区每日天气预报并邮件通知A,"['phone.actions.WeatherForecast', 'phone.actions.SendEmail']","['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.Email']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.IsWeatherCondition']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetPinboard']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.333333333,0.5,0.4
计算3+2等于几,['phone.actions.CalculateExpression'],"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.RepeatCount']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.scenes.IsTime']",0.333333333,1,0.5,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance']",0.5,1,0.666666667,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.scenes.GetBatteryCapacity', 'phone.scenes.IsCharge', 'phone.actions.OverlayImages']",0,0,0,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.actions.OverlayImages']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.scenes.GetBatteryCapacity']",0.333333333,1,0.5,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.RepeatCount']",0.333333333,1,0.5
计算3+2+1等于几,['phone.actions.CalculateExpression'],"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.OverlayImages']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.scenes.IsTime']",0.333333333,1,0.5,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance']",0.5,1,0.666666667,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.scenes.GetBatteryCapacity', 'phone.actions.OverlayImages', 'phone.scenes.IsCharge']",0,0,0,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.OverlayImages']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.actions.GetPinboard']",0.333333333,1,0.5,"['phone.actions.CalculateExpression', 'phone.actions.GetDistance', 'phone.actions.RepeatCount']",0.333333333,1,0.5
"每隔10分钟,播放一次《星晴》,循环50次","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.PlayMusic']","['phone.actions.PlayMusic', 'phone.actions.RepeatCount', 'phone.actions.WeatherForecast']",0.666666667,0.666666667,0.666666667,"['phone.actions.Delay', 'phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition']",0.333333333,0.333333333,0.333333333,"['phone.actions.RepeatCount', 'phone.scenes.IsBlueTooth', 'phone.scenes.IsTime']",0.333333333,0.333333333,0.333333333,"['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.scenes.IsTime']",0.666666667,0.666666667,0.666666667,"['phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.PlayMusic', 'phone.actions.Delay']",0.666666667,0.666666667,0.666666667,"['phone.actions.RepeatCount', 'phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetPlaylist', 'phone.actions.Delay', 'phone.actions.GetLastVideo']",0.333333333,0.333333333,0.333333333
"每隔60分钟,给A发送一次当前位置的每小时天气,循环99次","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.WeatherForecast', 'phone.actions.SendEmail']","['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.25,0.285714286,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.IsTime']",0.333333333,0.25,0.285714286,"['phone.actions.RepeatCount', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,0.5,0.571428571,"['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.WeatherCurrentConditions']",0.666666667,0.5,0.571428571,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetCurrentLocation']",0.333333333,0.25,0.285714286,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.Delay']",0.666666667,0.5,0.571428571,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.25,0.285714286,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherConditions']",0.333333333,0.25,0.285714286
获取昆明呈贡区每日天气的最高温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetPinboard']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8
获取昆明呈贡区每日天气的最低温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions', 'phone.actions.WeatherForecast']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.LowBatteryMode']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetPinboard']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8
获取昆明呈贡区每日天气的体感温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions', 'phone.actions.WeatherForecast']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetPinboard']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8
查找联系人，用邮件给联系人发送文件夹,"['phone.actions.Contacts', 'phone.actions.Folder', 'phone.actions.SendEmail']","['phone.actions.Contacts', 'phone.actions.SendMessage', 'phone.actions.SendEmail']",0.666666667,0.666666667,0.666666667,"['phone.scenes.Email', 'phone.actions.SendMessage', 'phone.scenes.Message']",0,0,0,"['phone.actions.Contacts', 'phone.actions.Folder', 'phone.scenes.Email']",0.666666667,0.666666667,0.666666667,"['phone.actions.Contacts', 'phone.actions.Folder', 'phone.scenes.Email']",0.666666667,0.666666667,0.666666667,"['phone.scenes.Email', 'phone.actions.Contacts', 'phone.actions.AddToMemorandum']",0.333333333,0.333333333,0.333333333,"['phone.actions.Contacts', 'phone.scenes.Email', 'phone.actions.Folder']",0.666666667,0.666666667,0.666666667,"['phone.scenes.Email', 'phone.actions.SendMessage', 'phone.actions.AddToMemorandum']",0,0,0,"['phone.actions.Contacts', 'phone.scenes.Email', 'phone.actions.Folder']",0.666666667,0.666666667,0.666666667
查找相册最近的5张gif图片，将其拆分为单独的帧,"['phone.actions.GetLastPhoto', 'phone.actions.GetFramesFromImage']","['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.FilterPhotos']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.MakeGif', 'phone.actions.GetLastPhoto']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.MakeImageFromPdfPage']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.MakeGif']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.FilterPhotos']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.MakeGif']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo']",0.666666667,1,0.8
把pdf创建成jpg图像并生成gif文件,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.MakeGif']","['phone.actions.MakeImageFromPdfPage', 'phone.actions.GetFramesFromImage', 'phone.actions.MakeGif']",0.666666667,1,0.8,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.GetTextFromPdf', 'phone.actions.GetFramesFromImage']",0.333333333,0.5,0.4,"['phone.actions.GetFramesFromImage', 'phone.actions.MakeImageFromPdfPage', 'phone.actions.MakeGif']",0.666666667,1,0.8,"['phone.actions.MakeGif', 'phone.actions.MakeImageFromPdfPage', 'phone.actions.GetFramesFromImage']",0.666666667,1,0.8,"['phone.actions.GetFramesFromImage', 'phone.actions.MakeImageFromPdfPage', 'phone.actions.OverlayImages']",0.333333333,0.5,0.4,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.GetTextFromPdf', 'phone.actions.Folder']",0.333333333,0.5,0.4,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.GetFramesFromImage', 'phone.actions.MakeGif']",0.666666667,1,0.8,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.GetTextFromPdf', 'phone.actions.MakeGif']",0.666666667,1,0.8
打开A应用并把窗口运动到屏幕中间,"['phone.actions.OpenApp', 'phone.actions.MoveWindow']","['phone.actions.OpenApp', 'phone.actions.SetBlueTooth', 'phone.actions.SetAirplaneMode']",0.333333333,0.5,0.4,"['phone.actions.MoveWindow', 'phone.actions.OpenApp', 'phone.actions.SetAirplaneMode']",0.666666667,1,0.8,"['phone.actions.MoveWindow', 'phone.actions.OpenApp', 'phone.scenes.IsNetwork']",0.666666667,1,0.8,"['phone.actions.MoveWindow', 'phone.scenes.IsNetwork', 'phone.actions.OpenApp']",0.666666667,1,0.8,"['phone.actions.OpenApp', 'phone.actions.MoveWindow', 'phone.scenes.IsApplication']",0.666666667,1,0.8,"['phone.actions.MoveWindow', 'phone.actions.SetAirplaneMode', 'phone.actions.SetBlueTooth']",0.333333333,0.5,0.4,"['phone.actions.OpenApp', 'phone.actions.MoveWindow', 'phone.actions.SetAirplaneMode']",0.666666667,1,0.8,"['phone.actions.MoveWindow', 'phone.actions.OpenApp', 'phone.actions.SetAirplaneMode']",0.666666667,1,0.8
"搜索中国的A播客,在音乐程序中创建一个新的播放列表，然后播放A的所有曲目","['phone.actions.SearchPodcasts', 'phone.actions.CreatePlaylist']","['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.SearchPodcasts']",0.666666667,1,0.8,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.SearchPodcasts']",0.666666667,1,0.8,"['phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.PlayMusic', 'phone.actions.GetPlaylist']",0,0,0,"['phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0,0,0
从相册获取最近的两张并将其合并,"['phone.actions.GetLastPhoto', 'phone.actions.OverlayImages']","['phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo', 'phone.actions.FilterPhotos']",0.333333333,0.5,0.4,"['phone.actions.GetLastPhoto', 'phone.actions.FilterPhotos', 'phone.actions.GetLastVideo']",0.333333333,0.5,0.4,"['phone.actions.FilterPhotos', 'phone.actions.GetLastPhoto', 'phone.actions.OverlayImages']",0.666666667,1,0.8,"['phone.actions.FilterPhotos', 'phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo']",0.333333333,0.5,0.4,"['phone.actions.GetLastPhoto', 'phone.actions.OverlayImages', 'phone.actions.GetLastVideo']",0.666666667,1,0.8,"['phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo', 'phone.actions.FilterPhotos']",0.333333333,0.5,0.4,"['phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo', 'phone.actions.OverlayImages']",0.666666667,1,0.8,"['phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo', 'phone.actions.FilterPhotos']",0.333333333,0.5,0.4
"获取A播放列表中的每首歌曲,通过邮件把这些歌曲发给B","['phone.actions.GetPlaylist', 'phone.actions.SendEmail']","['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.SendEmail']",0.666666667,1,0.8,"['phone.actions.GetPlaylist', 'phone.actions.GetPinboard', 'phone.actions.AirDropDocument']",0.333333333,0.5,0.4,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4
